GUID,内容类型,学科,学期,学段,章节,教材节数,单元内排序,课文标题,知识点类型,知识点关键词,知识点说明,核心教学目标,对应教案文件名,确认版（文件上传）,确认版交付时间,负责人,前端录屏文件,备注,是否可上线,预计完成日期,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第十九章 二次根式,19.2,5,最简二次根式,运算法则类,最简二次根式,满足被开方数不含分母、被开方数中不含能开得尽方的因数或因式的二次根式,"1. 理解最简二次根式的定义；
2. 能判断二次根式是否为最简形式；
3. 会将二次根式化为最简形式",八年级_下册_第十九章第 2 节_最简二次根式.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第十九章 二次根式,19.3,6,二次根式的加减法则,运算法则类,二次根式的加减法则,二次根式加减时，先将二次根式化为最简，再合并被开方数相同的二次根式,"1. 掌握二次根式的加减法则；
2. 能识别同类二次根式；
3. 能进行二次根式的加减运算",八年级_下册_第十九章第 3 节_二次根式的加减法则.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第十九章 二次根式,19.3,7,二次根式的混合运算,运算法则类,二次根式的混合运算,二次根式的混合运算顺序与实数一致，先乘方、再乘除、最后加减，有括号先算括号内,"1. 掌握二次根式混合运算的顺序；
2. 能运用运算律简化运算；
3. 能解决简单的混合运算问题",八年级_下册_第十九章第 3 节_二次根式的混合运算.docx,八年级_下册_第十九章第 3 节_二次根式的混合运算.docx.docx,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第十九章 二次根式,阅读与思考,8,海伦-秦九韶公式,公式类,海伦-秦九韶公式,若三角形的三边长分别为 a、b、c，半周长 p=(a+b+c)/2，则三角形的面积 S=√[p (p-a)(p-b)(p-c)],"1.理解海伦 - 秦九韶公式的内容
2.熟练运用海伦 - 秦九韶公式计算任意三角形的面积
3.了解海伦 - 秦九韶公式的中外历史背景",八年级_下册_第十九章第 3 节_海伦-秦九韶公式.docx,八年级_下册_第十九章第 3 节_海伦-秦九韶公式.docx.docx,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十章 勾股定理,20.1,1,勾股定理,性质/定理类,勾股定理,"直角三角形两条直角边长的平方和等于斜边长的平方，即a2+b2=c2（a,b为直角边，c为斜边），能够成为直角三角形三条边长的三个正整数称为勾股数","1. 理解勾股定理的内容；
2. 能直接运用勾股定理求边长
3.理解勾股数的定义
4.熟记常见的勾股数",八年级_下册_第二十章第 1 节_勾股定理.docx,八年级_下册_第二十章第 1 节_勾股定理.docx,5.25,聪慧,,完成,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十章 勾股定理,20.1,2,勾股定理的应用,性质/定理类,勾股定理的应用,运用勾股定理解决实际生活中与直角三角形相关的边长计算问题,"1. 能将实际问题转化为直角三角形模型；
2. 能运用勾股定理解决实际问题；
3. 会在数轴上表示无理数",八年级_下册_第二十章第 1 节_勾股定理的应用.docx,八年级_下册_第二十章第 1 节_勾股定理的应用.docx,5.25,丽玲,勾股定理的应用.mp4,前端公式展示问题,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十章 勾股定理,阅读与思考,5,勾股定理的证明,性质/定理类,勾股定理的证明,以商高提出的 “勾三、股四、弦五” 为起源，通过图形分割、拼接后面积相等的关系，证明直角三角形两条直角边长的平方和等于斜边长的平方,"1. 了解勾股定理证明的历史背景，知晓《周髀算经》中商高的相关记载，感受我国古代数学的辉煌成就；
2. 理解出入相补、面积相等的证明核心思路，掌握赵爽弦图证明勾股定理的过程；
3. 体会数形结合的数学思想，提升几何直观与逻辑推理素养。",八年级_下册_第二十章第 2 节_勾股定理的证明.docx,八年级_下册_第二十章第 2 节_勾股定理的证明.docx,5.25,晓静,,,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十章 勾股定理,20.2,3,勾股定理的逆定理,判定⽅法类,勾股定理的逆定理,"若三角形三边长a,b,c满足a2+b2=c2，则这个三角形是直角三角形","1. 理解勾股定理逆定理的内容；
2. 能运用逆定理判定直角三角形；
3. 区分勾股定理与逆定理的适用条件",八年级_下册_第二十章第 2 节_勾股定理的逆定理.docx,八年级_下册_第二十章第 2 节_勾股定理的逆定理.docx,5.25,丽玲,,前端部分内容展示缺失、公式问题,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十章 勾股定理,20.2,4,勾股定理逆定理的应用,性质/定理类,勾股定理逆定理的应用,运用勾股定理的逆定理解决实际问题中直角的判定与边长计算问题,"1. 能运用逆定理判定实际问题中的直角；
2. 能综合运用勾股定理及其逆定理解决问题",八年级_下册_第二十章第 2 节_勾股定理逆定理的应用.docx,八年级_下册_第二十章第 2 节_勾股定理逆定理的应用.docx,5.25,聪慧,,完成,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.1.1,1,四边形的定义,概念定义类,四边形的定义,平面内由不在同一直线上的四条线段首尾顺次相接组成的图形，分为凸四边形和凹四边形,"1. 理解四边形的定义；
2. 能识别凸四边形与凹四边形；
3. 掌握四边形的边、角、顶点、对角线概念",八年级_下册_第二十一章第 1 节_四边形的定义.docx,八年级_下册_第二十一章第 1 节_四边形的定义.docx,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.1.1,2,四边形的内角和与外角和,性质/定理类,四边形的内角和与外角和,四边形的内角和等于360∘，外角和等于360∘,"1. 掌握四边形内角和与外角和定理；
2. 能运用定理计算四边形的角度；
3. 理解四边形不稳定性的特点",八年级_下册_第二十一章第 1 节_四边形的内角和与外角和.docx,八年级_下册_第二十一章第 1 节_四边形的内角和与外角和.docx,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.1.2,3,多边形的定义,概念定义类,多边形的定义,平面内由n(n≥3)条线段首尾顺次相接组成的图形，有几条边就叫作几边形，各个角都相等、各条边都相等的多边形叫作正多边形,"1. 理解多边形的定义；
2. 掌握多边形的边、角、顶点、对角线概念；
3. 能识别凸多边形与正多边形
4.能计算正多边形的内角与外角",八年级_下册_第二十一章第 1 节_多边形的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.1.2,4,多边形对角线条数的计算,公式类,多边形对角线条数的计算,连接多边形不相邻两个顶点的线段叫做多边形的对角线；n 边形（n≥3 且 n 为整数）的对角线条数计算公式为n(n-3)/2,"1. 理解多边形对角线的定义，掌握 n 边形对角线条数的计算公式；
2. 能运用公式计算多边形的对角线条数，或根据对角线条数求多边形边数；
3. 经历公式推导过程，体会从特殊到一般的数学思想。",八年级_下册_第二十一章第 1 节_多边形对角线条数的计算.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.1.2,5,多边形的内角和与外角和,性质/定理类,多边形的内角和与外角和,n边形内角和等于(n−2)×180∘，任意多边形的外角和都等于360∘,"1. 掌握多边形内角和与外角和公式；
2. 能运用公式计算多边形的角度和边数；
3. 理解公式的推导过程",八年级_下册_第二十一章第 1 节_多边形的内角和与外角和.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.1,6,平行四边形的定义,概念定义类,平行四边形的定义,两组对边分别平行的四边形叫作平行四边形，记作 “□ABCD”,"1. 理解平行四边形的定义；
2. 能识别平行四边形；
3. 掌握平行四边形的表示方法",八年级_下册_第二十一章第 2 节_平行四边形的定义.docx,八年级_下册_第二十一章第 2 节_平行四边形的定义.docx,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.1,7,平行四边形的性质,性质/定理类,平行四边形的性质,平行四边形对边相等、对角相等、对角线互相平分，是中心对称图形,"1. 掌握平行四边形的边、角、对角线性质；
2. 能运用性质进行简单的证明与计算；
3. 理解平行四边形的中心对称性",八年级_下册_第二十一章第 2 节_平行四边形的性质.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.1,8,平行线之间的距离,概念定义类,平行线之间的距离,两条平行线中，一条直线上任意一点到另一条直线的垂线段的长度，叫做这两条平行线之间的距离；,"1. 理解平行线之间距离的定义；
2. 掌握平行线间距离处处相等的性质，能运用性质解决简单问题；
3. 会计算或测量两条平行线之间的距离。",八年级_下册_第二十一章第 2 节_平行线之间的距离.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.2,9,平行四边形的判定（一）,判定⽅法类,平行四边形的判定,包含两组对边分别相等、两组对角分别相等、对角线互相平分、一组对边平行且相等四种判定方法,"1. 掌握平行四边形的四种判定方法；
2. 能运用判定定理证明四边形是平行四边形；
3. 能区分性质与判定的应用场景",八年级_下册_第二十一章第 2 节_平行四边形的判定（一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.2,10,平行四边形的判定（二）,判定⽅法类,平行四边形的判定-两组对边分别相等,两组对边分别相等的四边形是平行四边形，是平行四边形的核心判定定理,"1. 理解该判定定理的内容；
2. 能结合三角形全等证明此判定定理；
3. 能运用定理判定四边形为平行四边形。",八年级_下册_第二十一章第 2 节_平行四边形的判定（二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.2,11,平行四边形的判定（三）,判定⽅法类,平行四边形的判定-一组对边平行且相等,一组对边平行且相等的四边形是平行四边形，是简便常用的判定定理。,"1. 理解 “一组对边平行且相等” 的判定条件；
2. 能运用该定理证明四边形是平行四边形；
3. 体会此判定方法的简洁性与解题优势。",八年级_下册_第二十一章第 2 节_平行四边形的判定（三）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.2,12,平行四边形的判定（四）,判定⽅法类,平行四边形的判定-对角线互相平分,对角线互相平分的四边形是平行四边形，是从对角线角度判定的定理。,"1. 理解对角线判定平行四边形的定理内容；
2. 能运用对角线关系判定四边形为平行四边形；
3. 能综合运用多种判定方法解决简单几何问题。",八年级_下册_第二十一章第 2 节_平行四边形的判定（四）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.2.3,13,三角形的中位线,性质/定理类,三角形的中位线,三角形的中位线平行于第三边，并且等于第三边的一半,"1. 理解三角形中位线的定义；
2. 掌握三角形中位线定理；
3. 能运用定理解决线段平行与长度计算问题",八年级_下册_第二十一章第 2 节_三角形的中位线.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.1,14,矩形的定义与性质,概念定义类,矩形的定义与性质,有一个角是直角的平行四边形叫作矩形，矩形四个角都是直角、对角线相等,"1. 理解矩形的定义；
2. 掌握矩形的边、角、对角线性质；
3. 能运用性质进行计算与证明",八年级_下册_第二十一章第 3 节_矩形的定义与性质.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.1,15,直角三角形斜边上的中线等于斜边的一半,概念定义类,直角三角形斜边上的中线等于斜边的一半,直角三角形斜边上的中线是连接斜边中点与直角顶点的线段，该线段的长度等于斜边长度的一半,"1. 理解直角三角形斜边上的中线等于斜边一半的性质；
2. 能运用该性质进行线段长度计算与相关几何推理；
3. 了解该性质的证明思路，体会几何图形间的转化思想。",八年级_下册_第二十一章第 3 节_直角三角形斜边上的中线等于斜边的一半.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.1,16,矩形的判定定理（一）,判定⽅法类,矩形的判定-三个角是直角的四边形判定,三个角都是直角的四边形是矩形，无需先判定平行四边形，可直接判定四边形为矩形,"1. 理解该判定定理的内容；
2. 能运用定理证明四边形是矩形；
3. 结合四边形内角和定理理解判定依据。",八年级_下册_第二十一章第 3 节_矩形的判定定理（一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.1,17,矩形的判定定理（二）,判定⽅法类,矩形的判定-对角线相等的平行四边形判定,对角线相等的平行四边形是矩形，是从对角线角度判定平行四边形为矩形的核心定理。,"1. 理解对角线相等的平行四边形是矩形的定理；
2. 能运用该定理判定平行四边形为矩形；
3. 区分平行四边形与矩形的对角线性质。",八年级_下册_第二十一章第 3 节_矩形的判定定理（二）.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.1,18,矩形的判定定理（三）,判定⽅法类,矩形的判定-对角线相等且互相平分的四边形判定,对角线相等且互相平分的四边形是矩形，综合对角线特征直接判定四边形为矩形,"1. 理解该判定定理的内容；
2. 能结合对角线的数量与位置关系判定矩形；
3. 能综合运用四种判定方法解决几何证明问题。",八年级_下册_第二十一章第 3 节_矩形的判定定理（三）.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.2,19,菱形的定义与性质,判定⽅法类,菱形的定义与性质,有一组邻边相等的平行四边形叫作菱形，菱形四条边都相等、对角线互相垂直且平分一组对角,"1. 理解菱形的定义；
2. 掌握菱形的边、角、对角线性质；
3. 能运用性质进行计算与证明",八年级_下册_第二十一章第 3 节_菱形的定义与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.2,20,菱形的判定定理（一）,判定⽅法类,菱形的判定定理-一组邻边相等的平行四边形,有一组邻边相等的平行四边形叫作菱形，这是菱形的定义，也是最基础的判定方法。,"1. 理解菱形的定义，掌握定义判定法；
2. 能运用定义判定一个平行四边形是菱形；
3. 明确菱形与平行四边形的从属关系。",八年级_下册_第二十一章第 3 节_菱形的判定定理（一）.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.2,21,菱形的判定定理（二）,判定⽅法类,菱形的判定定理-对角线互相垂直的平行四边形,对角线互相垂直的平行四边形是菱形，是从对角线角度判定平行四边形为菱形的判定定理。,"1. 理解该判定定理的内容；
2. 能运用定理判定平行四边形为菱形；
3. 结合菱形性质理解定理的推导思路。",八年级_下册_第二十一章第 3 节_菱形的判定定理（二）.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.2,22,菱形的判定定理（三）,判定⽅法类,菱形的判定定理-四条边相等的四边形,四条边相等的四边形是菱形，可直接判定四边形为菱形，无需先判定为平行四边形。,"1. 理解该判定定理的内容；
2. 能运用定理证明四边形是菱形；
3. 能结合四边形边的特征灵活应用判定方法。",八年级_下册_第二十一章第 3 节_菱形的判定定理（三）.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.3,23,正方形的定义与性质,概念定义类,正方形的定义与性质,有一组邻边相等且有一个角是直角的平行四边形叫作正方形，兼具矩形与菱形的所有性质,"1. 理解正方形的定义；
2. 掌握正方形的性质；
3. 能理清正方形与矩形、菱形的关系",八年级_下册_第二十一章第 3 节_正方形的定义与性质.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,21.3.3,24,正方形的判定,判定⽅法类,正方形的判定,既是矩形又是菱形的四边形是正方形，可通过先证矩形再证菱形或先证菱形再证矩形判定,"1. 掌握正方形的判定思路；
2. 能运用判定定理证明四边形是正方形；
3. 能区分特殊平行四边形的判定条件",八年级_下册_第二十一章第 3 节_正方形的判定.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,数学活动,25,黄金矩形,性质/定理类,黄金矩形,宽与长的比是25−1（约 0.618）的矩形叫作黄金矩形,"1. 理解黄金矩形的定义；
2. 掌握黄金矩形的折纸方法；
3. 了解黄金矩形在生活中的应用",八年级_下册_第二十一章数学活动_黄金矩形.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十一章 四边形,数学活动,26,剪拼正方形,概念定义类,剪拼正方形,基于面积不变原理与勾股定理，将两个大小不等的正方形通过分割、裁剪、拼接，转化为一个面积等于原两个正方形面积之和的大正方形的几何剪拼方法，核心是利用出入相补法实现图形的等积变换。,"1. 理解剪拼正方形的面积守恒原理，明确剪拼前后总面积不变；
2. 掌握两个正方形剪拼成一个大正方形的基本方法，能完成动手剪拼操作；
3. 体会出入相补、数形结合的数学思想，加深对勾股定理的理解与应用。",八年级_下册_第二十一章数学活动_剪拼正方形.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十二章 函数,22.1,1,常量与变量,概念定义类,常量与变量,在一个变化过程中，数值始终不变的量叫作常量，数值发生变化的量叫作变量,"1. 理解常量与变量的定义；
2. 能在具体问题中识别常量与变量；
3. 体会变化过程中的数量关系",八年级_下册_第二十二章第 1 节_常量与变量.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十二章 函数,22.1,2,函数的定义,概念定义类,函数的定义,在一个变化过程中，有两个变量 x 与 y，对于 x 的每一个确定的值，y 都有唯一确定的值与其对应，则 y 是 x 的函数,"1. 理解函数的定义；
2. 理解函数解析式的定义
3. 掌握求自变量取值范围的方法
4.能根据函数解析式，在自变量的取值范围内正确求出对应的函数值",八年级_下册_第二十二章第 1 节_函数的定义.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十二章 函数,22.2,3,函数的图象,概念定义类,函数的图象,对于一个函数，把自变量与函数的每对对应值作为点的横、纵坐标，坐标平面内由这些点组成的图形就是函数的图象,"1. 理解函数图象的定义；
2. 能从函数图象中获取信息；
3. 能判断点是否在函数图象上；
4.体会函数解析式与图象之间的对应关系",八年级_下册_第二十二章第 2 节_函数的图象.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十二章 函数,22.2,4,函数的三种表示方法,⽅法步骤类,函数的三种表示方法,函数的表示方法包括解析法、列表法和图象法，三种方法各有优缺点,"1. 掌握函数的三种表示方法；
2. 能进行三种表示方法之间的转化；
3. 能根据实际问题选择合适的表示方法",八年级_下册_第二十二章第 2 节_函数的三种表示方法.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.1,1,一次函数的定义,概念定义类,一次函数的定义,"形如y=kx+b（k,b是常数，k=0）的函数叫作一次函数，当b=0时即为正比例函数","1. 理解一次函数的定义；
2. 能判断一个函数是否为一次函数；
3. 理清一次函数与正比例函数的关系",八年级_下册_第二十三章第 1 节_一次函数的定义.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.1,2,正比例函数的定义,概念定义类,正比例函数的定义,形如y=kx（k是常数，k=0）的函数叫作正比例函数，k叫作比例系数,"1. 理解正比例函数的定义；
2. 能判断一个函数是否为正比例函数；
3. 能根据条件求正比例函数解析式",八年级_下册_第二十三章第 1 节_正比例函数的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.2,3,正比例函数的图象与性质,性质/定理类,正比例函数的图象与性质,正比例函数y=kx的图象是过原点的直线，k>0时图象过一、三象限，y随x增大而增大；k<0时过二、四象限，y随x增大而减小,"1. 掌握正比例函数的图象特征；
2. 掌握正比例函数的增减性；
3. 能根据k的符号判断函数性质",八年级_下册_第二十三章第 2 节_正比例函数的图象与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.2,4,一次函数的图象与性质,性质/定理类,一次函数的图象与性质,一次函数y=kx+b的图象是一条直线，可由y=kx平移得到，k>0时y随x增大而增大，k<0时y随x增大而减小,"1. 掌握一次函数的图象特征；
2. 掌握一次函数的增减性；
3. 理解k,b对图象位置的影响",八年级_下册_第二十三章第 2 节_一次函数的图象与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.2,5,待定系数法求一次函数解析式,公式类,待定系数法求一次函数解析式,先设出函数解析式，再根据条件确定解析式中未知系数，从而得出函数解析式的方法叫作待定系数法,"1. 理解待定系数法的原理；
2. 掌握用待定系数法求一次函数解析式的步骤；
3. 能根据两点坐标求一次函数解析式",八年级_下册_第二十三章第 2 节_待定系数法求一次函数解析式.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.3,6,一次函数与一元一次方程,公式类,一次函数与一元一次方程,解一元一次方程ax+b=0相当于求一次函数y=ax+b的函数值为 0 时自变量x的值,"1. 理解一次函数与一元一次方程的关系；
2. 能利用一次函数图象解一元一次方程；
3. 体会数形结合的思想",八年级_下册_第二十三章第 3 节_一次函数与一元一次方程.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.3,7,一次函数与一元一次不等式,公式类,一次函数与一元一次不等式,解一元一次不等式ax+b>0（或<0）相当于求一次函数y=ax+b的函数值大于 0（或小于 0）时自变量x的取值范围,1. 理解一次函数与一元一次不等式的关系；2. 能利用一次函数图象解一元一次不等式；3. 能从图象中获取不等式的解集,八年级_下册_第二十三章第 3 节_一次函数与一元一次不等式.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.3,8,一次函数与二元一次方程组,⽅法步骤类,一次函数与二元一次方程组,解二元一次方程组相当于求两个一次函数图象的交点坐标，交点的横、纵坐标即为方程组的解,1. 理解一次函数与二元一次方程组的关系；2. 能利用一次函数图象解二元一次方程组；3. 体会数形结合的思想,八年级_下册_第二十三章第 3 节_一次函数与二元一次方程组.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.4,9,实际问题与一次函数,⽅法步骤类,实际问题与一次函数,利用一次函数的性质，比较不同方案的函数值大小，包括建立函数模型，结合实际确定自变量取值范围，从而选择最优方案的问题,"1. 能将实际方案问题转化为一次函数模型；
2. 能运用一次函数性质进行方案选择；
3. 体会函数在实际决策中的应用",八年级_下册_第二十三章第 4 节_实际问题与一次函数.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.1.1,1,平均数与加权平均数,公式类,平均数与加权平均数,"若n个数x1,x2​,…,xn的权分别为w1,w2,…,wn，则x=w1+w2+⋯+wn​x1​w1​+x2​w2​+⋯+xn​wn叫作加权平均数","1. 理解平均数与加权平均数的定义；
2. 能计算一组数据的平均数与加权平均数；
3. 理解“权”的意义和作用",八年级_下册_第二十四章第 1 节_平均数与加权平均数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.1.2,2,中位数,概念定义类,中位数,将一组数据按从小到大（或从大到小）的顺序排列，处于中间位置的数叫作这组数据的中位数,"1. 理解中位数的定义；
2. 能计算一组数据的中位数；
3. 体会中位数反映数据的中间水平",八年级_下册_第二十四章第 1 节_中位数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.1.2,3,众数,概念定义类,众数,一组数据中出现次数最多的数据叫作这组数据的众数，一组数据可以有多个众数或没有众数,"1. 理解众数的定义；
2. 能找出一组数据的众数；
3. 体会众数反映数据的集中趋势",八年级_下册_第二十四章第 1 节_众数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.2,4,方差,概念定义类,方差,一组数据中各数据与平均数的差的平方的平均数，即s2=n1[(x1−x)2+(x2−x)2+⋯+(xn−x)2],"1. 理解方差的定义；
2. 能计算一组数据的方差；
3. 能根据方差判断数据的离散程度",八年级_下册_第二十四章第 2 节_方差.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.3,5,四分位数,概念定义类,四分位数,将一组数据按从小到大排列后，处于 25%、50%、75% 位置的数，分别叫作第一、第二、第三四分位数,"1. 理解四分位数的定义；
2. 能计算一组数据的四分位数；
3. 体会四分位数反映数据的分布情况",八年级_下册_第二十四章第 3 节_四分位数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.3,6,箱线图,概念定义类,箱线图,由一组数据的最小值、第一四分位数、中位数、第三四分位数、最大值绘制的统计图，用于展示数据的分布,"1. 理解箱线图的构成；
2. 能绘制简单的箱线图；
3. 能从箱线图中获取数据的分布信息",八年级_下册_第二十四章第 3 节_箱线图.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.4,7,组内、组间离差平方和,概念定义类,组内、组间离差平方和,将数据分组后，用于分析数据离散程度来源的两个统计量。组内离差平方和是每组数据的离差平方和的总和，反映各组内部数据的离散程度；组间离差平方和是各组平均数与总体平均数的差的平方乘以各组频数的总和，反映不同组之间数据的差异程度,"1. 理解组内、组间离差平方和的定义；
2. 能计算分组数据的组内、组间离差平方和；
3. 体会其在数据分组中的作用",八年级_下册_第二十四章第 4 节_组内离差平方和.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.1,1,反比例函数的定义与解析式,概念定义类,定义与解析式,形如y=xk​（k为常数，k=0）的函数，x为自变量，用待定系数法，代入已知点坐标求k的值,1. 能说出反比例函数的定义；2. 会判断函数是否为反比例函数3. 能说出待定系数法的步骤；4. 会求反比例函数的解析式,九年级_下册_第二十六章第 1 节_反比例函数的定义与解析式.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.2,3,反比例函数的图象,方法 / 步骤类,反比例函数图象画法,用描点法画反比例函数的双曲线图象,1. 能说出描点法的步骤；2. 会画简单反比例函数的图象,九年级_下册_第二十六章第 1 节_反比例函数的图象画法.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.2,4,反比例函数的性质（k>0）,性质 / 定理类,反比例函数性质（k>0）,k>0时，图象位于一、三象限，在每个象限内y随x增大而减小,1. 能说出k>0时的性质；2. 会根据性质判断函数变化趋势,九年级_下册_第二十六章第 1 节_反比例函数的性质 k>0.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.2,5,反比例函数的性质（k<0）,性质 / 定理类,反比例函数性质（k<0）,k<0时，图象位于二、四象限，在每个象限内y随x增大而增大,1. 能说出k<0时的性质；2. 会根据性质判断函数变化趋势,九年级_下册_第二十六章第 1 节_反比例函数的性质 k<0.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
